Snoring Rate,Respiratory Rate,Body Temperature,Limb Movement,Blood Oxygen,Eye Movement,Sleep Hours,Heart Rate
46.24,16.496,96.744,4.992,95.496,64.96,7.496,51.24
47.0,16.8,97.2,5.6,95.8,68.0,7.8,52.0
53.52,18.704,94.704,8.704,93.056,81.76,5.704,56.76
66.88,20.688,92.688,10.688,90.688,88.44,3.032,61.72
59.92,19.984,95.984,9.984,94.976,84.96,6.984,59.96
46.2,16.48,96.72,4.96,95.48,64.8,7.48,51.2
83.12,22.832,90.416,13.04,88.416,96.04,0.416,67.08
49.64,17.856,98.784,7.712,96.856,78.56,8.856,54.64
77.12,21.712,93.712,11.712,91.712,93.56,4.568,64.28
45.6,16.24,96.36,4.48,95.24,62.4,7.24,50.6
47.84,17.136,97.704,6.272,96.136,71.36,8.136,52.84
46.0,16.4,96.6,4.8,95.4,64.0,7.4,51.0
72.96,21.296,93.296,11.296,91.296,91.48,3.944,63.24
51.84,18.368,94.368,8.368,92.552,80.92,5.368,55.92
69.12,20.912,92.912,10.912,90.912,89.56,3.368,62.28
96.832,26.832,86.04,17.416,83.248,101.04,0.0,77.08
75.36,21.536,93.536,11.536,91.536,92.68,4.304,63.84
45.16,16.064,96.096,4.128,95.064,60.64,7.064,50.16
98.816,28.816,88.52,18.408,86.224,103.52,0.0,82.04
49.92,17.968,98.952,7.936,96.968,79.68,8.968,54.92
59.28,19.856,95.856,9.856,94.784,84.64,6.856,59.64
57.76,19.552,95.552,9.552,94.328,83.88,6.552,58.88
47.64,17.056,97.584,6.112,96.056,70.56,8.056,52.64
52.16,18.432,94.432,8.432,92.648,81.08,5.432,56.08
85.4,23.44,90.72,13.8,88.72,96.8,0.72,68.6
45.0,16.0,96.0,4.0,95.0,60.0,7.0,50.0
96.672,26.672,85.84,17.336,83.008,100.84,0.0,76.68
89.0,24.4,91.2,15.0,89.2,98.0,1.2,71.0
92.24,25.264,91.632,16.08,89.632,99.08,1.632,73.16
96.0,26.0,85.0,17.0,82.0,100.0,0.0,75.0
88.04,24.144,91.072,14.68,89.072,97.68,1.072,70.36
59.76,19.952,95.952,9.952,94.928,84.88,6.952,59.88
85.04,23.344,90.672,13.68,88.672,96.68,0.672,68.36
66.72,20.672,92.672,10.672,90.672,88.36,3.008,61.68
45.96,16.384,96.576,4.768,95.384,63.84,7.384,50.96
46.96,16.784,97.176,5.568,95.784,67.84,7.784,51.96
69.44,20.944,92.944,10.944,90.944,89.72,3.416,62.36
78.08,21.808,93.808,11.808,91.808,94.04,4.712,64.52
97.056,27.056,86.32,17.528,83.584,101.32,0.0,77.64
62.56,20.256,92.256,10.256,90.256,86.28,2.384,60.64
98.08,28.08,87.6,18.04,85.12,102.6,0.0,80.2
55.52,19.104,95.104,9.104,93.656,82.76,6.104,57.76
80.0,22.0,94.0,12.0,92.0,95.0,5.0,65.0
51.68,18.336,94.336,8.336,92.504,80.84,5.336,55.84
49.4,17.76,98.64,7.52,96.76,77.6,8.76,54.4
82.88,22.768,90.384,12.96,88.384,95.96,0.384,66.92
